סמל הרשות,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
0666,3,3,3,4,4,4,4,4,5,5
0587,1,1,1,1,1,1,1,1,1,1
0267,1,1,1,1,1,1,2,2,2,2
3769,,,,,,,,3,3,4
1271,2,2,,2,3,3,3,3,3,3
1268,2,2,2,2,3,3,3,3,3,3
1224,3,3,5,5,5,5,5,4,4,5
0154,2,2,3,3,3,3,3,3,3,4
1263,,,,,,,,,5,5
2650,6,6,6,6,7,6,7,7,7,7
3750,,2,2,2,2,3,3,3,3,3
3560,,,,,,,,2,2,3
3760,1,1,1,1,2,2,2,2,2,2
0681,5,7,5,5,6,6,6,6,6,7
6900,3,3,4,4,4,4,4,4,5,5
0229,3,3,3,3,4,4,4,4,4,4
0028,2,3,3,3,4,4,4,4,4,4
1304,3,3,3,3,4,3,4,4,4,4
8700,3,3,3,3,3,3,3,4,4,4
1200,3,4,4,3,3,3,3,3,3,3
9700,2,2,3,3,3,3,3,3,4,4
0182,2,2,2,2,2,2,3,3,3,3
0029,,,,,,,,,,5
0047,3,,,3,,,4,5,5,5
0122,2,2,3,3,4,4,4,4,3,4
9300,3,4,,3,4,4,5,3,3,4
2300,3,3,3,3,3,4,4,4,4,4
9800,2,3,3,3,4,4,4,4,4,4
1015,4,4,5,5,5,6,6,7,7,7
6300,8,9,9,9,10,9,10,10,10,10
2620,7,7,7,7,8,8,9,9,9,10
6400,6,6,6,6,7,7,7,8,8,8
5000,,5,5,6,6,6,7,7,7,7
#N/A,4,4,,,,,,,,
3652,2,,2,2,2,2,2,3,3,3
3650,2,2,2,2,2,2,2,2,3,3
9400,,,4,5,5,5,5,6,6,6
7200,4,5,4,4,4,5,5,5,6,6
0195,3,3,3,3,3,3,3,3,3,4
0168,2,2,3,3,3,3,3,3,3,3
0466,2,2,2,2,2,2,2,3,3,3
0043,2,2,2,,2,2,3,3,3,3
0026,2,2,2,2,2,2,2,2,2,3
4000,10,10,10,10,10,10,10,10,10,10
2500,3,3,3,3,3,3,3,4,4,4
8600,8,9,8,9,10,10,10,10,10,10
3640,,,,,,,,,2,3
7900,9,8,8,9,10,10,10,10,10,10
8300,7,7,7,7,8,8,8,9,9,9
8400,6,7,7,7,7,7,8,8,9,9
2640,3,3,3,3,4,4,4,4,5,5
2550,3,3,3,3,3,3,3,3,3,4
2530,2,2,2,,,,3,4,4,3
0171,2,2,2,2,2,2,3,3,3,3
0166,2,2,2,2,2,2,2,2,2,2
0240,3,3,3,3,3,3,4,4,4,4
8200,5,5,6,6,7,7,7,7,8,8
9500,4,4,5,5,5,6,6,7,7,8
7800,3,3,4,4,4,3,4,4,4,4
0565,3,3,4,4,5,5,5,5,5,6
3574,,,,,,,,,6,7
3608,,,,,,,,,,4
3616,3,3,3,3,4,4,4,4,4,5
3557,2,,,,,,,,4,5
3730,2,2,3,3,3,4,4,4,4,4
3570,3,3,3,3,3,3,3,3,3,3
2560,3,3,4,,4,4,4,5,5,5
9000,3,4,4,3,4,4,4,4,5,5
0070,3,3,3,3,3,3,4,4,4,4
2600,3,3,3,3,3,3,3,4,4,4
7100,3,3,3,3,3,3,3,3,4,4
7400,7,8,8,8,8,8,9,9,9,10
2660,3,3,3,4,4,4,5,5,5,5
1066,3,3,3,3,4,4,4,4,4,5
0469,2,3,3,3,4,4,4,4,4,4
0041,2,2,2,2,3,3,3,4,2,4
9100,5,5,5,5,6,6,6,6,7,7
1139,3,4,3,4,4,4,4,4,5,5
0065,,,,,,,,,,4
1061,3,3,4,3,4,4,4,4,5,5
1063,2,2,2,3,3,4,4,4,4,5
0874,2,2,2,3,3,3,3,4,4,4
7700,2,2,3,3,3,3,3,3,3,4
0487,2,2,2,2,3,3,3,3,3,3
4100,2,2,2,2,2,3,3,3,3,3
2800,2,2,2,2,2,2,3,3,3,3
0812,2,2,2,2,2,2,2,2,2,3
0518,2,2,2,2,2,2,2,2,2,2
9600,4,4,5,5,6,6,6,7,7,7
6500,3,4,4,4,4,4,5,4,4,5
6800,2,3,3,3,4,4,5,5,5,6
6200,9,9,9,10,10,10,10,10,10,10
6600,7,8,8,8,9,9,10,10,10,10
2400,3,4,,4,5,5,5,5,5,6
3611,2,,,,,,,3,4,4
0831,3,3,3,3,4,4,4,4,4,5
2630,3,3,3,3,3,4,4,4,5,5
2200,3,3,3,3,4,4,4,4,4,4
1034,3,3,3,3,4,3,4,4,4,4
1031,2,3,3,3,3,3,3,3,3,4
0099,3,2,2,2,2,2,2,2,2,3
7000,3,4,4,4,4,4,4,4,4,5
8500,3,3,4,3,4,4,3,4,4,4
7600,4,4,4,4,5,6,6,6,6,6
8000,3,4,3,4,6,4,4,5,5,5
0046,2,2,3,3,3,4,4,5,4,4
0508,3,3,3,3,3,3,3,4,3,3
6700,2,2,2,3,3,3,3,3,3,4
0530,2,2,,2,3,3,3,3,3,4
9200,2,2,,2,2,3,3,3,3,4
0535,3,2,3,2,2,2,2,,3,3
0543,2,2,,2,2,2,2,3,3,4
0536,2,2,2,2,2,2,3,3,3,3
0507,2,2,2,2,2,2,2,2,2,2
1020,5,7,3,3,4,4,4,4,4,4
2100,3,3,3,3,3,3,4,3,4,4
0654,2,2,2,,3,2,3,3,3,3
0534,,,,,,,,2,3,
3000,10,10,10,10,10,10,10,10,10,10
0031,2,2,2,3,3,4,3,4,4,5
0246,3,3,,3,3,3,3,3,3,3
0634,2,3,3,3,4,4,4,4,2,2
0633,2,2,,3,3,3,3,,3,3
2720,2,2,,2,2,2,2,2,3,3
1290,2,2,2,2,3,3,2,2,2,2
2730,2,2,2,,,,,,,
0978,3,3,3,3,3,3,3,3,4,4
2034,2,3,3,3,3,3,3,3,3,4
7300,2,3,,2,3,3,3,3,3,3
0529,2,2,2,3,3,2,3,3,2,3
0485,,,,2,2,2,2,3,3,3
8900,2,2,2,2,2,2,3,3,3,3
1295,2,2,2,2,2,2,3,3,3,3
0499,2,2,2,2,2,2,3,3,3,3
0542,2,2,2,2,2,2,3,3,3,3
0492,2,2,,2,2,2,2,3,3,3
0473,2,2,2,2,2,2,3,3,2,3
0498,2,2,2,2,2,2,3,3,2,3
8800,2,2,2,2,2,2,2,3,3,3
0496,2,2,2,2,2,2,2,2,2,2
0525,2,2,1,2,2,2,2,2,2,2
0628,,,,,,,,,,3
0494,,,,,,,,2,3,3
6000,,,,,,,,,,2
1137,,,,3,3,3,4,4,3,4
2610,3,3,3,3,3,3,4,4,4,3
6100,9,9,9,10,10,10,10,10,10,10
3660,3,3,3,3,3,3,3,4,4,4
1286,3,3,3,3,4,4,4,3,3,2
1059,3,4,4,,,2,3,3,1,2
1192,2,2,2,2,2,2,4,4,1,1
1303,2,2,1,1,1,2,2,2,2,2
1161,1,1,1,1,1,1,1,1,1,2
1309,3,3,4,4,4,4,5,5,5,5
0627,2,2,2,2,2,2,3,3,3,3
0638,2,2,2,2,2,2,2,2,2,3
0480,3,3,3,3,4,4,4,4,4,4
4001,,,,,,,,,3,3
0517,2,3,3,3,3,3,3,3,4,3
4203,,,,,,,,,3,3
0483,,,,,,,,3,3,3
0538,2,2,2,,3,3,3,3,3,3
0490,,,,,,,,3,3,2
0482,2,2,2,2,3,3,3,3,3,3
0509,2,3,2,3,3,3,3,2,2,3
0502,,,,2,2,2,3,3,3,3
0489,2,3,2,2,3,2,2,3,3,3
4502,2,,,,,,,,,3
0478,2,2,2,2,2,2,3,3,3,3
0998,2,2,2,2,2,2,3,3,3,3
0522,2,2,2,2,2,3,2,3,3,3
0531,2,2,2,2,2,2,3,3,3,3
0505,2,2,2,2,2,2,3,3,,3
4201,2,2,2,2,3,2,2,2,3,3
7500,2,2,2,2,2,2,2,3,3,3
0532,2,2,2,2,2,2,3,3,,
0944,2,,2,2,2,2,2,2,3,3
0975,2,2,2,2,2,2,3,,3,2
0510,2,2,2,2,2,2,2,3,3,2
1292,2,2,2,2,2,2,2,2,2,3
0504,2,2,2,2,2,2,2,2,2,3
1296,2,2,2,2,2,2,2,2,2,3
0520,2,2,1,2,2,2,2,2,3,3
0913,1,3,1,2,2,2,2,2,3,3
0481,2,1,1,2,2,2,2,2,3,3
0516,,,,,,,,2,2,2
0511,2,2,1,,2,2,1,2,2,2
0537,2,3,3,2,3,3,3,3,3,4
2710,2,2,2,3,2,3,4,3,3,3
0922,2,2,2,3,3,3,2,3,3,3
1326,2,2,2,2,2,2,3,3,3,3
1327,1,,2,2,2,2,2,3,3,3
0637,2,2,2,2,2,3,2,2,2,2
0472,2,2,2,3,3,3,3,3,3,3
3780,3,3,3,3,4,3,4,4,4,4
3797,2,3,3,3,3,3,3,3,3,4
1060,1,1,,2,2,1,2,2,,
1054,2,1,1,1,1,1,1,1,1,1
0541,2,2,2,2,2,2,2,2,2,3
#N/A,,3,3,,,,,,,
#N/A,,,,2,2,2,,,,
#N/A,,2,2,2,1,2,2,3,,
#N/A,,2,2,2,2,2,,,,
#N/A,,,,,,,,,,
#N/A,,,,,,,,,,
#N/A,,,,,,,,,,
#N/A,,,,,,,,,,
#N/A,,,,,,,,,,
#N/A,,,,,,,,,,
#N/A,,,,,,,,,,
#N/A,,,,,,,,,,
0962,2,2,2,2,3,3,2,2,2,2
4501,,,,,,,,,,
